,,,,, 1-1, 1-2, 1-3, 1-4,,,,,,,, 1-5,, 1-6,, 1-7, 1-8
,,,,28.00%,31.00%,22.00%,8.00%,32.00%,,,,,,,,21.00%,,28.00%,,40.00%,17.00%
Student ID,Student Name,Test Score %,PE/PP,Section 1 %,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
4804382689,"Aaberg, Aaron",82.00%, 14/17,82.00%,C,B,0,1,1,1,1,1,1,1,1,"F,C",C,1,"E,A",1,"C,D"
4804374599,"Aaby, Aaron",76.00%, 13/17,76.00%,C,B,0,1,1,1,1,1,1,1,0,"F,C",C,0,"E,A",1,"D,F"
4804397379,"Aadland, Abbey",71.00%, 12/17,71.00%,C,B,1,1,1,1,0,1,0,1,0,B,D,0,"E,A",1,"D,F"
4804353845,"Aagaard, Abbie",71.00%, 12/17,71.00%,C,B,0,1,1,1,0,1,0,1,0,"F,C",D,0,"E,A",1,"D,F"
4804396397,"Aakre, Abby",59.00%, 10/17,59.00%,C,B,0,1,1,1,1,1,1,1,1,,,0,,0,
4804040722,"Aaland, Abdul",45.00%, 7/17,45.00%,C,D,0,1,1,1,0,1,0,1,0,"F,D,B,H",C,0,"E,A",0.7,"C,D"
4804380459,"Aalbers, Abe",41.00%, 7/17,41.00%,D,D,0,1,1,1,0,1,0,1,0,"F,C",D,0,"D,G",0,"C,D"
4804368641,"Aalderink, Abel",41.00%, 7/17,41.00%,B,D,0,1,1,1,0,0,0,1,0,"D,E",D,0,"B,F",1,"D,F"
4804366886,"Aalund, Abigail",35.00%, 6/17,35.00%,D,D,1,0,1,1,1,0,0,1,0,"E,A,C,G",C,1,"E,B,A,F",0,"C,B"
4804343419,"Aamodt, Abraham",29.00%, 5/17,29.00%,D,A,0,1,0,0,0,1,0,1,0,"A,B,H,G",B,1,"E,A",0,"A,F"
4804396447,"Aamot, Abram",29.00%, 5/17,29.00%,D,D,0,1,1,1,0,0,0,0,0,"D,A",D,0,"A,F",1,"D,B"
4804269553,"Aanderud, Ada",29.00%, 5/17,29.00%,A,D,1,1,0,0,0,0,0,0,0,"F,C",D,0,B,1,"B,F"
4804155491,"Aanenson, Adah",27.00%, 4/17,27.00%,B,D,0,1,1,1,0,0,0,0,0,"D,E",C,0,B,0.7,"D,F"
4804349397,"Aanerud, Adalberto",25.00%, 4/17,25.00%,B,D,0,0,1,1,1,0,0,0,0,"F,A",B,1,"D,A,F",0.3,"B,G"
4804344978,"Aarant, Adaline",24.00%, 4/17,24.00%,C,D,0,1,1,1,0,0,0,0,0,"B,G",B,0,"D,B,H",0,"C,F"
4804276220,"Aardema, Adam",24.00%, 4/17,24.00%,B,C,0,0,0,0,0,1,1,1,0,"D,E,A,H",B,1,"D,A,H",0,"C,E,A"
4804273988,"Aarestad, Adam",24.00%, 4/17,24.00%,D,D,0,0,0,0,0,0,0,0,0,"F,C",D,0,"E,A",1,"D,B"
4804129218,"Aarhus, Adan",24.00%, 4/17,24.00%,D,B,0,0,1,0,0,1,0,0,0,"F,C",B,0,"C,F,H",0,"D,B,G"
4804114594,"Aaron, Addie",24.00%, 4/17,24.00%,A,D,0,0,0,0,0,1,0,1,0,"D,E,A,B,H,G",D,0,"D,B,H",1,"E,F,G"
4801816826,"Aarons, Adela",22.00%, 3/17,22.00%,C,B,0,0,0,0,0,0,0,0,0,"F,D,E,C",C,1,A,0.7,"A,G"
4801755413,"Aaronson, Adelaida",22.00%, 3/17,22.00%,A,D,0,0,0,0,0,0,0,1,0,"E,A,C,G",A,0,"E,A",0.7,"D,F"
4801762504,"Aarsvold, Adelaide",22.00%, 3/17,22.00%,C,D,0,0,0,1,0,0,1,0,0,"E,A",C,0,"B,H",0.7,"D,B"
4804388158,"Aas, Adele",20.00%, 3/17,20.00%,D,B,0,1,1,0,0,0,0,0,0,"E,A,C,G",A,0,"D,B,F,H",0.3,"A,D,G"
4804033167,"Aasby, Adelia",18.00%, 3/17,18.00%,D,D,0,0,0,0,0,1,0,1,0,"E,A,H,C",C,1,"E,B,A,F",0,"B,G"
4804218929,"Aase, Adelina",14.00%, 2/17,14.00%,C,D,0,0,0,0,0,1,0,0,0,"D,B",B,0,"E,B,C,G",0.3,"C,B,F"
4804303389,"Aasen, Adeline",12.00%, 2/17,12.00%,C,D,0,0,0,0,0,1,0,0,0,"D,E,H",B,0,"E,C",0,"A,D,G"
4804354750,"Aavang, Adell",12.00%, 2/17,12.00%,B,D,0,0,0,0,0,1,0,0,0,"F,D,B,H",A,1,"E,A,C,G",0,"C,A,B"
4804219748,"Abad, Adella",12.00%, 2/17,12.00%,B,C,0,1,0,0,0,0,0,1,0,"E,B,H",B,0,"D,G",0,"E,A,B,F"
4804055537,"Abadi, Adelle",12.00%, 2/17,12.00%,B,C,0,0,0,1,0,0,0,0,0,"F,D,E,A,B,C",A,1,"E,A,C",0,"C,A,D,B,F,G"
4804396687,"Abadie, Adena",10.00%, 1/17,10.00%,D,D,0,0,1,0,0,0,0,0,0,"E,A,H",C,0,"E,D,G",0.7,"C,E,G"
4804272877,"Abair, Adina",8.00%, 1/17,8.00%,D,A,0,1,0,0,0,0,0,0,0,"F,D,B,H",C,0,"A,F",0.3,"E,D"
4804337565,"Abaja, Adolfo",6.00%, 1/17,6.00%,B,D,0,0,0,0,0,0,0,0,0,"F,D,E,C",C,1,"B,A",0,"A,B,F,G"
4804260833,"Abajian, Adolph",6.00%, 1/17,6.00%,B,A,0,0,0,0,0,0,0,1,0,"F,D,E,A,B,H,C,G",B,0,"E,D,B,A,C,F,H,G",0,"C,E,A,D,B,F,G"
4804382037,"Abalos, Adria",6.00%, 1/17,6.00%,A,A,0,0,0,0,0,0,0,0,0,"B,G",B,1,"B,G",0,"E,D"
4801821367,"Abaloz, Adrian",6.00%, 1/17,6.00%,B,D,0,0,0,1,0,0,0,0,0,"F,D,A,G",C,0,"E,D,B,G",0,"D,B,G"
4801820363,"BOLLING, MATTHEW",6.00%, 1/17,6.00%,A,D,0,0,0,0,0,0,0,0,0,"F,D,B,H",C,1,"E,A,C,G",0,"C,F,G"
